time,event_type,product_id,machine_index,additional_info
38.8828218067669,machine_request,7,2.0,
38.8828218067669,machine_allocated,8,1.0,Waiting Time: 1.21
38.8828218067669,processing_start,8,1.0,Processing Time: 4.21
38.88449052447952,processing_complete,4,2.0,
38.88449052447952,machine_failure,4,2.0,Repair Time: 2.44
39.37971699555608,product_arrival,9,,
39.37971699555608,machine_request,9,0.0,
39.37971699555608,machine_allocated,9,0.0,Waiting Time: 0.00
39.37971699555608,processing_start,9,0.0,Processing Time: 3.13
41.32699133679003,machine_repaired,4,2.0,
41.32699133679003,machine_request,4,3.0,
41.32699133679003,machine_allocated,5,2.0,Waiting Time: 13.35
41.32699133679003,processing_start,5,2.0,Processing Time: 5.06
42.51108763319354,processing_complete,9,0.0,
42.51108763319354,machine_request,9,1.0,
42.754097708907395,processing_complete,3,3.0,
42.754097708907395,machine_request,3,4.0,
42.754097708907395,machine_allocated,4,3.0,Waiting Time: 1.43
42.754097708907395,processing_start,4,3.0,Processing Time: 6.25
43.090403520731094,processing_complete,8,1.0,
43.090403520731094,machine_request,8,2.0,
43.090403520731094,machine_allocated,9,1.0,Waiting Time: 0.58
43.090403520731094,processing_start,9,1.0,Processing Time: 3.25
46.34378167252812,processing_complete,9,1.0,
46.34378167252812,machine_request,9,2.0,
46.382405704490836,processing_complete,5,2.0,
46.382405704490836,machine_request,5,3.0,
46.382405704490836,machine_allocated,6,2.0,Waiting Time: 14.12
46.382405704490836,processing_start,6,2.0,Processing Time: 4.65
47.290238062050456,machine_repaired,1,4.0,
47.290238062050456,product_completion,1,,Total Time: 42.19
47.290238062050456,machine_allocated,2,4.0,Waiting Time: 10.67
47.290238062050456,processing_start,2,4.0,Processing Time: 7.37
48.99989055809721,processing_complete,4,3.0,
48.99989055809721,machine_request,4,4.0,
48.99989055809721,machine_allocated,5,3.0,Waiting Time: 2.62
48.99989055809721,processing_start,5,3.0,Processing Time: 5.79
51.03199456459594,processing_complete,6,2.0,
51.03199456459594,machine_request,6,3.0,
51.03199456459594,machine_allocated,7,2.0,Waiting Time: 12.15
51.03199456459594,processing_start,7,2.0,Processing Time: 4.89
54.663489469721355,processing_complete,2,4.0,
54.663489469721355,product_completion,2,,Total Time: 49.44
54.663489469721355,machine_allocated,3,4.0,Waiting Time: 11.91
54.663489469721355,processing_start,3,4.0,Processing Time: 6.96
54.79321001556498,processing_complete,5,3.0,
54.79321001556498,machine_request,5,4.0,
54.79321001556498,machine_allocated,6,3.0,Waiting Time: 3.76
